"Country","Anaemia","Arthralgia","Asthenia","Cough","Diarrhoea","Dizziness","Drug ineffective","Dyspnoea","Fall","Fatigue","Headache","Malaise","Nausea","Off label use","Pain","Pain in extremity","Pneumonia","Pyrexia","Rash","Vomiting","Weight decreased"
"AT",0.194839754714798,0.00231401133865556,0.0285780400323962,0.0455860233715145,0.0758995719079023,0.047437232442439,0.0150410737012611,0.0510239500173551,0.0244128196228162,0.0579659840333218,0.0149253731343284,0.00798333911836168,0.0919819507115585,0.0279995371977323,0.0409580006942034,0.0376026842531528,0.0924447529792896,0.0576188823325234,0.0127270623626056,0.042230706930464,0.0304292491033206
"AU",0.0310111188325226,0.0300555941626129,0.0204134815844336,0.0236275191104934,0.0656706045865184,0.0453439888811675,0.0406532314107019,0.0462126476719944,0.0332696316886727,0.0908617095205003,0.0418693537178596,0.06636553161918,0.0813933287004864,0.044909659485754,0.044041000694927,0.0348332175121612,0.0461257817929117,0.101546212647672,0.0297081306462821,0.0574183460736623,0.0246699096594858
"BE",0.0488785442234448,0.0171392297926365,0.0438002539145154,0.0175624206517139,0.1125687685146,0.0133305120609395,0.0619974608548455,0.0389335590351248,0.0611510791366906,0.09437156157427,0.0473973762166737,0.0374523910283538,0.0780787134997884,0.0495133305120609,0.0165044435040203,0.019043588658485,0.0363944138806602,0.0689801100296234,0.0313161235717309,0.047185780787135,0.0584003385526873
"BR",0.0354845814977974,0.0745594713656388,0.0503083700440529,0.025704845814978,0.0440748898678414,0.034647577092511,0.0690088105726872,0.0455286343612335,0.0374449339207048,0.0451762114537445,0.0491189427312775,0.0673127753303965,0.0398017621145374,0.0309471365638767,0.092488986784141,0.0553964757709251,0.0413215859030837,0.0420264317180617,0.00599118942731278,0.0458810572687225,0.0677753303964758
"CA",0.0104317184219853,0.0582008778865291,0.034028326835519,0.0512145914556013,0.0463344147877532,0.0342668829575506,0.107445677363069,0.0594413697210938,0.034382753073966,0.0829698192426184,0.0517462308132719,0.0588790588620191,0.0560334251206412,0.0220596253987295,0.0682031952888574,0.0401967065623381,0.0435944273289893,0.0293594427328989,0.0261355271408708,0.0322050764742768,0.0528708525314213
"CH",0.0804176072234763,0.0225733634311512,0.0268058690744921,0.0253950338600451,0.0973476297968397,0.0242663656884876,0.0383747178329571,0.0533295711060948,0.0555869074492099,0.0533295711060948,0.031038374717833,0.011568848758465,0.0812641083521445,0.111455981941309,0.0200338600451467,0.00846501128668172,0.0711060948081264,0.0651805869074492,0.0251128668171558,0.082392776523702,0.0149548532731377
"CN",0.138053767512306,0.00492237788716395,0.0111321469140477,0.089890193108671,0.191518364255964,0.0514956455887921,0.0249905338886785,0.0449072321090496,0.00265051117001136,0.0503597122302158,0.0217341915940931,0.0159030670200682,0.0501325255585006,0.0318061340401363,0.0162059825823552,0.0205225293449451,0.0476334721696327,0.124119651647103,0.0157516092389247,0.041423703142749,0.0048466489965922
"CO",0.027634144273968,0.0470458591167246,0.0545901500381453,0.0350936678816648,0.0546749173518691,0.0686615241163007,0.0343307620581504,0.0523014325676019,0.0265321691955582,0.0499279477833347,0.0901924218021531,0.0851911502924472,0.0352632025091125,0.0119521912350598,0.072984657116216,0.0573874713910316,0.0278884462151394,0.0487412053912012,0.0233957785877766,0.0546749173518691,0.0415359837246758
"DE",0.0631921251538056,0.0331927110798617,0.0361223413605203,0.0234370422452686,0.0833772777875432,0.0384953418878538,0.0337200445303803,0.0714243862424562,0.0415421573797387,0.0725962383547196,0.021503486260034,0.0126267065096385,0.0829964258510576,0.0384953418878538,0.0319329700591785,0.022206597527392,0.109597468799438,0.0781039432823578,0.0202730415421574,0.0494228628347103,0.0357414894240347
"DK",0.0296706879686991,0.039126181936746,0.00815128790348875,0.0169546788392566,0.0417345940658624,0.0606455820019563,0.0192370394522335,0.112813824584284,0.0169546788392566,0.0968373002934464,0.0710792305184219,0.0257580697750245,0.0720573850668406,0.0749918487120965,0.0273883273557222,0.0626018910987936,0.0127160091294425,0.12324747310075,0.0032605151613955,0.0655363547440496,0.0192370394522335
"ES",0.0766930976212141,0.0155985961263486,0.0510854023137918,0.0114389704926557,0.0711036006759392,0.0410763031327181,0.0691537761601456,0.0508254257116859,0.0241778239958404,0.0263876251137398,0.0250877421032107,0.0265176134147927,0.0540751332380086,0.0829325360717535,0.027427531522163,0.0118289353958144,0.116079552840244,0.106070453659171,0.0382165605095541,0.0616144546990771,0.0126088652021318
"FR",0.0885527802184009,0.014873854650433,0.0717020208359483,0.02312664742061,0.081617923936237,0.0136814359231831,0.0339525542864315,0.0581774821137191,0.041546378812602,0.0402284423245889,0.0368080833437931,0.0304066775448726,0.0499246893435421,0.116323584787247,0.0249152755114849,0.0144031630475712,0.0370591188653194,0.0937303878498808,0.0341408309275762,0.0689092506589682,0.0259194175975901
"GB",0.0271162697618571,0.0431401698161754,0.0248434775150805,0.0275736870693845,0.0692844277995369,0.0627090540038309,0.0205837788387318,0.093298836444724,0.0415535035306898,0.0689127762371709,0.0519454529860774,0.0965579347608565,0.0724434660796478,0.0281168701220732,0.0382801109236971,0.0346922439177792,0.0434689385059607,0.0428256954172503,0.0441836530489722,0.0527030504016696,0.0157666028188342
"IT",0.138833992094862,0.0142663043478261,0.0840538537549407,0.0140810276679842,0.0726902173913044,0.0171689723320158,0.0595355731225296,0.0603384387351779,0.0214303359683794,0.0279767786561265,0.0179100790513834,0.0297060276679842,0.0638586956521739,0.142786561264822,0.00883152173913043,0.0114871541501976,0.0422430830039526,0.0747900197628459,0.0283473320158103,0.0612030632411067,0.00846096837944664
"JP",0.113625877889988,0.0245040241964423,0.00977854103655098,0.0193007638283693,0.0997975085866612,0.0249397652124878,0.0295534936176757,0.0245040241964423,0.0234403034808018,0.0149946173168606,0.0431383605885067,0.0536986722714923,0.0768826575075614,0.046303890910955,0.0117265596965192,0.0136233147075409,0.113228584610653,0.135182242272005,0.0587865894294356,0.0518531809094171,0.0111370277336341
"KR",0.045457423235201,0.00955998733776512,0.0413421968977525,0.0502690724912947,0.128331750553973,0.0335549224438113,0.0348844571066793,0.0431149097815764,0.00468502690724913,0.0052548274770497,0.0281734726179171,0.000253244697689142,0.185438429882874,0.0106995884773663,0.0163342830009497,0.0124723013611902,0.0943336498892055,0.198100664767331,0.0188667299778411,0.0345045900601456,0.0043684710351377
"MX",0.0205960746304822,0.0581536224860674,0.0564574751635571,0.0365883208141507,0.0564574751635571,0.0673612793796947,0.055245941361764,0.0305306518051854,0.0518536467167434,0.058395929246426,0.072207414586867,0.0654228252968258,0.0237460625151442,0.0821419917615702,0.0622728374121638,0.0501574993942331,0.0482190453113642,0.0322267991276957,0.00751150957111703,0.0259268233583717,0.0385267748970196
"NL",0.0246974970992873,0.0324879827614785,0.01408917619758,0.00712746560583458,0.0759157964528427,0.0518813194099121,0.0321564727333002,0.0513840543676446,0.0588430300016576,0.0878501574672634,0.0505552792971987,0.0762473064810211,0.0593402950439251,0.0621581302834411,0.0382894082545997,0.0334825128460136,0.0484004641140394,0.084700812199569,0.0155809713243826,0.0538703795789823,0.0409414884800265
"PL",0.1509172724126,0.010730356524749,0.0391138802353756,0.010730356524749,0.0879196953963309,0.0117687781239183,0.154378677743164,0.0681896850121149,0.00553824852890273,0.0124610591900312,0.0190377293181032,0.0204222914503288,0.056767047421253,0.0449982692973347,0.00449982692973347,0.00899965385946694,0.120803046036691,0.030460366908965,0.0273451021114573,0.107995846313603,0.00692281066112842
"PR",0.004860088365243,0.112665684830633,0.0399116347569956,0.0279823269513991,0.0575846833578792,0.0521354933726068,0.0699558173784978,0.0241531664212077,0.0313696612665685,0.0846833578792342,0.0811487481590574,0.0374079528718704,0.0438880706921944,0,0.123269513991163,0.0793814432989691,0.00544918998527246,0.0460972017673049,0.0213549337260677,0.0369661266568483,0.0197349042709867
