"Country","Anaemia","Arthralgia","Asthenia","Back pain","Constipation","Cough","Decreased appetite","Diarrhoea","Dizziness","Drug dose omission","Drug ineffective","Dyspnoea","Fall","Fatigue","Gynaecomastia","Headache","Insomnia","Malaise","Nausea","Off label use","Pain","Pain in extremity","Pneumonia","Pyrexia","Rash","Vomiting","Weight decreased","Weight increased"
"AT",0.190303989151317,0.00226014238897051,0.0279127585037857,0.00497231325573511,0.00440727765849248,0.0445248050627189,0.00553734885297774,0.0741326703582326,0.0463329189738954,0,0.0146909255283083,0.0498361396767996,0.0238445022036388,0.0566165668437112,0.000113007119448525,0.0145779184088598,0.00711944852525709,0.00779749124194824,0.0898406599615776,0.0273477229065431,0.0400045202847779,0.0367273138207707,0.0902926884393717,0.0562775454853656,0.0124307831393378,0.0412475985987117,0.0297208724149621,0.00113007119448525
"AU",0.0273521299417714,0.0265093472264787,0.0180049034630708,0.0190009193993258,0.0296506282562059,0.0208397180508734,0.0300337113086117,0.0579221575237511,0.0399938706711615,0.0113392583512105,0.0358565737051793,0.040760036775973,0.0293441618142813,0.0801409745632853,7.66166104811523e-05,0.0369292062519154,0.0158596383695985,0.0585350904076004,0.0717897640208397,0.0396107876187557,0.0388446215139442,0.0307232608029421,0.0406834201654919,0.0895648176524671,0.0262028807845541,0.0506435795280417,0.0217591173766473,0.0120288078455409
"BE",0.0410593672236047,0.0143974404550302,0.0367934589406328,0.0129754710273729,0.0296836118023463,0.0147529328119445,0.0716317099182368,0.0945609669392108,0.0111980092428013,0.0067543547813722,0.0520796302879488,0.032705296836118,0.0513686455741202,0.0792747955918948,0,0.0398151439744045,0.032705296836118,0.0314610735869179,0.0655883398506932,0.0415926057589762,0.0138642019196587,0.0159971560611447,0.0305723426946321,0.0579452541770352,0.0263064344116602,0.0396373977959474,0.049057945254177,0.00622111624600071
"BR",0.0310913828042073,0.0653285728071022,0.0440798996429605,0.0200521084628003,0.0135289008974235,0.0225224355881502,0.0253015536041687,0.0386181607642575,0.0303580044388691,0.0159220303001061,0.0604651162790698,0.0398919231882659,0.0328090321335521,0.0395831322975972,0,0.0430377303869536,0.0184116568561227,0.0589790601177265,0.0348740712148992,0.0271157000868474,0.0810383093698736,0.0485380681269903,0.036205731930908,0.0368233137122455,0.00524944514136833,0.0402007140789347,0.0593843481617292,0.0305895976068706
"CA",0.00939147189308265,0.0523971110715666,0.0306350365411402,0.0218633220222499,0.00971055489761731,0.0461074941552584,0.0137205691949904,0.0417139666312812,0.0308498039480386,0.00515134965974707,0.0967312400670074,0.0535139015874379,0.0309541195456749,0.0746961041192389,8.28388569464984e-05,0.0465861186620604,0.0177612645504918,0.0530076641283205,0.0504457957746047,0.0198598489264698,0.0614020016322323,0.0361883080623685,0.0392472095577632,0.0264317315775586,0.0235293034786184,0.0289935999312744,0.0475985935802954,0.031429675946664
"CH",0.0750197420373783,0.0210581732034746,0.0250065806791261,0.0200052645433009,0.0178994472229534,0.0236904448539089,0.0139510397473019,0.0908133719399842,0.0226375361937352,0.00157936299026059,0.0357988944459068,0.0497499341932087,0.0518557515135562,0.0497499341932087,0,0.0289549881547776,0.0107923137667807,0.0107923137667807,0.0758094235325086,0.103974730192156,0.0186891287180837,0.00789681495130297,0.066333245590945,0.0608054751250329,0.0234272176888655,0.0768623321926823,0.0139510397473019,0.00289549881547776
"CN",0.124157188585439,0.00442688823809848,0.010011578015392,0.00742355104542668,0.0496492542395968,0.0808417898249676,0.0199550500578901,0.172240005448478,0.0463120615677995,0.00122590751208881,0.0224749710549615,0.0403868419260369,0.0023837090512838,0.0452904719743922,0,0.0195464142205271,0.0131444527685078,0.0143022543077028,0.0450861540557107,0.0286045086154056,0.0145746781992781,0.018456718654226,0.0428386569502145,0.111625689572976,0.0141660423619151,0.0372539671729211,0.00435878226520466,0.0092624123135599
"CO",0.0249349854673398,0.0424506654428637,0.0492580694508184,0.0222579164754475,0.00520116261281934,0.0316659017898118,0.0384733057977666,0.0493345571363011,0.0619550252409362,0.00558360104023252,0.0309775126204681,0.0471929019427872,0.0239406455560655,0.0450512467492734,0,0.0813828973535261,0.014762123298149,0.0768701239100505,0.0318188771607771,0.0107847636530519,0.0658558972005507,0.0517821630717454,0.0251644485237877,0.0439804191525164,0.0211106011932079,0.0493345571363011,0.0374789658864923,0.011396665136913
"DE",0.0577958789957397,0.030358243348249,0.0330376999544492,0.0146834222019774,0.0219715441708422,0.0214356528496021,0.030813750971303,0.0762573350124595,0.0352080598054715,0.00246510007770424,0.030840545537365,0.0653251520591624,0.0379946946759197,0.0663969347016425,0.000643069585488063,0.0196672114895099,0.00503737841965649,0.0115484579727231,0.0759090056536534,0.0352080598054715,0.0292060770075829,0.020310281074998,0.100238471637952,0.071434313121299,0.0185418397149058,0.0452024329465984,0.0326893705956432,0.00978001661263096
"DK",0.0271885270391395,0.0358530026889752,0.00746937556020317,0.0253958769046908,0.00836570062742755,0.0155363011652226,0.00926202569465193,0.0382432028682402,0.0555721541679116,0.00298775022408127,0.0176277263220795,0.103376157753212,0.0155363011652226,0.0887361816552136,0,0.0651329548849716,0.0328652524648939,0.023603226770242,0.066029279952196,0.0687182551538691,0.0250971018822826,0.0573648043023603,0.0116522258739169,0.112936958470272,0.00298775022408127,0.0600537795040335,0.0176277263220795,0.00478040035853003
"ES",0.0708368351542802,0.0144074918957858,0.0471845359586985,0.0128466802737423,0.0288149837915716,0.0105654940569096,0.0232921118981871,0.0656741505582903,0.0379397286589026,0.00156081162204346,0.0638732140713171,0.0469444110937688,0.022331612438468,0.024372673790371,0,0.0231720494657222,0.00612318405570897,0.0244927362228359,0.0499459719053908,0.0765998319125945,0.02533317325009,0.0109256813543042,0.107215752191139,0.0979709448913435,0.0352983551446752,0.0569095929883539,0.0116460559490935,0.00372193540641133
"FR",0.0791030133146461,0.0132866152768045,0.0640504555010512,0.0192852137351086,0.0222004204625088,0.0206587245970568,0.0313945339873861,0.0729081990189208,0.0122214435879467,0.00386825508058865,0.0303293622985284,0.051969166082691,0.0371128241065172,0.0359355290819902,0.000644709180098108,0.0328801681850035,0.0192571829011913,0.0271618780658725,0.0445970567624387,0.103910301331465,0.0222564821303434,0.0128661527680448,0.033104414856342,0.0837281009110021,0.0304975473020322,0.0615557112824106,0.0231534688156973,0.0100630693763139
"GB",0.0236200864119134,0.0375779761682418,0.0216403322002665,0.0280527436405065,0.03868614047539,0.0240185275111128,0.0321990213290501,0.0603513752443565,0.0546237844433653,0.00580229850709101,0.0179298494639722,0.081269532952324,0.0361958836053939,0.060027641851257,0.00186769265249711,0.0452479673278299,0.0184403521223214,0.0841084257841196,0.0631031090857022,0.024491676316412,0.0333445394892483,0.0302192671174032,0.0378643557082913,0.0373040479125422,0.0384869199257903,0.0459078853983788,0.0137337666380287,0.00388480071719398
"IT",0.126612221909321,0.0130104196001126,0.0766544635313996,0.0073782033230076,0.0239369191776964,0.0128414531117995,0.0235426640382991,0.0662911855815263,0.015657561250352,0.00602647141650239,0.0542945649112926,0.0550267530273163,0.0195437904815545,0.0255139397352858,5.63221627710504e-05,0.0163334272036046,0.0135173190650521,0.0270909602928752,0.0582371163052661,0.130216840326669,0.00805406927626021,0.0104759222754154,0.0385243593353985,0.068206139115742,0.0258518727119121,0.055815263306111,0.00771613629963391,0.0135736412278231
"JP",0.0937169675700816,0.0202105619212718,0.00806519808887573,0.0213838738319733,0.0441736078812735,0.0159189886262737,0.0682740687497357,0.0823115301678576,0.020569954758784,0.00146928248277028,0.0243752906853833,0.0202105619212718,0.0193332205826392,0.0123673417614477,0.000200837173903852,0.0355798909137034,0.0334869561540738,0.0442898820345863,0.0634116950657477,0.0381907741744535,0.00967189548010655,0.0112363113610418,0.0933892858652911,0.111496342649359,0.0484863219314194,0.0427677476639466,0.00918565811170775,0.00622595239101941
"KR",0.0382362338907232,0.00804132495473426,0.0347747363936521,0.012514644797103,0.0702417722867185,0.0422835232719139,0.0413782085419107,0.107945468100969,0.0282245180530408,0,0.029342848013633,0.0362658430077751,0.00394078176589626,0.00442006603472148,0.000106507615294494,0.0236979444030248,0.029555863244222,0.000213015230588987,0.155980402598786,0.00899989349238471,0.0137394823729897,0.0104910001065076,0.0793481733943977,0.166631164128235,0.0158696346788795,0.0290233251677495,0.00367451272766003,0.00505911172648844
"MX",0.0176385142145673,0.0498028636646607,0.0483502801411081,0.028844158539116,0.0151483710313343,0.031334301722349,0.0275990869474995,0.0483502801411081,0.057688317078232,0.00498028636646607,0.0473127204814277,0.0261465034239469,0.0444075534343225,0.0500103755965968,0,0.0618385557169537,0.0321643494500934,0.0560282216227433,0.0203361693297365,0.0703465449263333,0.0533305665075742,0.0429549699107699,0.0412948744552812,0.0275990869474995,0.00643286989001868,0.0222037767171612,0.0329943971778377,0.0348620045652625
"NL",0.0216506829410055,0.028480092996222,0.0123510607381575,0.0446091252542865,0.0170008718395815,0.00624818366753851,0.0158384190642255,0.0665504213891311,0.0454809648358035,0.00639349026445801,0.028189479802383,0.045045045045045,0.0515838419064226,0.0770124963673351,0.010171461784365,0.0443185120604475,0.00508573089218251,0.0668410345829701,0.0520197616971811,0.0544899738448126,0.0335658238884045,0.029351932577739,0.042429526300494,0.0742516710258646,0.013658820110433,0.0472246439988375,0.0358907294391165,0.0242662016855565
"PL",0.142903965912815,0.0101606030809571,0.037037037037037,0.00163880694854146,0.0255653883972468,0.0101606030809571,0.0101606030809571,0.0832513929859063,0.0111438872500819,0,0.146181579809898,0.0645689937725336,0.00524418223533268,0.0117994100294985,0,0.0180268764339561,0.00884955752212389,0.0193379219927893,0.0537528679121599,0.042608980662078,0.0042608980662078,0.0085217961324156,0.114388725008194,0.0288430022943297,0.0258931497869551,0.102261553588987,0.00655522779416585,0.00688298918387414
"PR",0.00429799426934097,0.099635321698359,0.0352956499088304,0.0299557176348007,0.0112008335504038,0.0247460276113571,0.0265694191195624,0.0509247199791612,0.0461057567074759,0.0222714248502214,0.0618650690283928,0.0213597290961188,0.0277415993748372,0.0748892940870018,0,0.0717634800729357,0.0190153685855692,0.0330815316488669,0.0388121906746549,0,0.109012763740557,0.0702005730659026,0.00481896327168533,0.0407658244334462,0.0188851263349831,0.0326908048971086,0.0174524615785361,0.0066423547798906
"US",0.0178387563656567,0.0283168543959414,0.0359546479487684,0.0231215635730288,0.0232130579749637,0.0237713064273491,0.0217657226168195,0.0629872657030582,0.0390402635038776,0.030280669022979,0.0613827986546345,0.046829221720771,0.0380205650243422,0.0765489902797143,0.033148156619852,0.0446360080859835,0.0254586488398444,0.0343369208420933,0.0610466561779606,0.039086010704845,0.0419972564939478,0.0277466718911296,0.0323903442907825,0.0206180645751577,0.0267190173766433,0.0328239481956044,0.0286099016832981,0.0223107110109535
