"Country","Abdominal pain","Acute kidney injury","Anaemia","Anxiety","Arthralgia","Asthenia","Back pain","Blood pressure increased","Condition aggravated","Constipation","Cough","Death","Decreased appetite","Depression","Diarrhoea","Dizziness","Drug dose omission","Drug ineffective","Dyspnoea","Fall","Fatigue","Feeling abnormal","Gait disturbance","Gynaecomastia","Headache","Hypertension","Hypotension","Insomnia","Malaise","Nausea","Off label use","Pain","Pain in extremity","Peripheral swelling","Pneumonia","Pruritus","Pyrexia","Rash","Urinary tract infection","Vomiting","Weight decreased","Weight increased"
"AT",0.00908922277870525,0.0127063624559451,0.156186236319792,0.00306065664997218,0.00185494342422556,0.0229085512891857,0.00408087553329623,0.0097384529771842,0.0179002040437767,0.00361713967723984,0.0365423854572436,0.0532368762752736,0.00454461138935262,0.000649230198478946,0.0608421443145984,0.038026340196624,0,0.0120571322574661,0.0409015025041736,0.0195696531255797,0.0464663327768503,0,0.00333889816360601,9.2747171211278e-05,0.0119643850862549,0.0101094416620293,0.00120571322574661,0.00584307178631052,0.00639955481357819,0.0737340011129661,0.0224448154331293,0.0328324986087924,0.0301428306436654,0.00881098126507142,0.0741049897978112,0.00204043776664812,0.0461880912632165,0.0102021888332406,0.0473938044889631,0.0338527174921165,0.0243925060285661,0.000927471712112781
"AU",0.0168946568455513,0.0399275108149187,0.0208698702209751,0.0167777388050976,0.0202268209984801,0.0137378697533029,0.0144978370162516,0.0072489185081258,0.0237928212323161,0.0226236408277797,0.0159008535016953,0.0115748860049106,0.0229159359289138,0.0336723956506489,0.0441950192914767,0.0305156085584006,0.00865193499356951,0.0273588214661522,0.0311001987606688,0.0223898047468724,0.0611481351572548,0.00900268911493043,0.00637203320472349,5.8459020226821e-05,0.0281772477493277,0.0108149187419619,0.0321524611247515,0.0121010171869519,0.0446626914532912,0.0547761019525313,0.0302233134572665,0.0296387232549982,0.0234420671109552,0.00818426283175494,0.0310417397404419,0.00596282006313574,0.0683385946451538,0.0199929849175728,0.0146147550567052,0.0386414123699287,0.0166023617444172,0.0091780661756109
"BE",0.0215009016507144,0.026494659453461,0.0320432792342905,0.0199750312109863,0.0112359550561798,0.0287141073657928,0.0101262311000139,0.00471632681370509,0.00790678318768206,0.0231654875849632,0.0115133860452213,0.0156748508808434,0.0559023442918574,0.00957136912193092,0.0737966430850326,0.00873907615480649,0.00527118879178804,0.0406436398945762,0.0255236509918158,0.0400887779164933,0.0618671105562491,0.00416146483562214,0.0288528228603135,0,0.0310722707726453,0.0123456790123457,0.0196976002219448,0.0255236509918158,0.0245526425301706,0.0511860174781523,0.0324594257178527,0.0108198085726176,0.0124843945068664,0.00721320571507837,0.0238590650575669,0.0145651269246775,0.0452212512137606,0.0205298931890692,0.0269108059370232,0.0309335552781246,0.0382854764877237,0.00485504230822583
"BR",0.0177712574488037,0.00496082761124051,0.0243655282978916,0.0121147040140355,0.051196345926979,0.0345442995855894,0.0157143289270698,0.012659185093318,0.00555068211379655,0.0106022565715841,0.0176502616534075,0.0059439184488339,0.0198281859705375,0.0191929580447079,0.030264073323452,0.0237907982697601,0.0124776914002238,0.0473849783720016,0.0312622886354699,0.0257116065216734,0.0310202970446777,0.011570222934753,0.0314891557518376,0,0.0337275779666657,0.0259233491636166,0.0081369672403884,0.0144287486009861,0.046220393841314,0.0273299252850963,0.0212498865664418,0.0635076681085332,0.0380380531776521,0.0248495114794761,0.0283735140203878,0.0127196829910161,0.0288574972019722,0.00411385704346774,0.0234429353579963,0.0315042802262621,0.0465380078042288,0.0239722919628543
"CA",0.015992232553817,0.00300817342731226,0.00748619419593725,0.00943539275005747,0.0417671429200315,0.0244200094891975,0.0174278405227863,0.0423858972916656,0.0177457775516892,0.00774054381905959,0.0367535205411777,0.00740304143453187,0.0109370337942605,0.00788483831679246,0.0332513218843394,0.0245912063509144,0.00410627901175389,0.0771070665173178,0.0426573666009597,0.0246743591123198,0.0595422685051579,0.00960658961177443,0.0118297031446418,6.60330752336837e-05,0.0371350449758612,0.01397455525501,0.0144465694594581,0.0141579804639924,0.0422538311411983,0.0402116971478603,0.0158308183699124,0.0489451827648782,0.0288466711993074,0.0222604833621107,0.0312850036440475,0.0149161379944532,0.0210694423384513,0.0187558390358193,0.011983780320187,0.0231115763317893,0.037942115895384,0.0250534378775502
"CH",0.023721881390593,0.0449897750511247,0.0582822085889571,0.0104294478527607,0.016359918200409,0.0194274028629857,0.0155419222903885,0.00265848670756646,0.0149284253578732,0.0139059304703476,0.0184049079754601,0.0196319018404908,0.010838445807771,0.00511247443762781,0.0705521472392638,0.0175869120654397,0.00122699386503067,0.0278118609406953,0.0386503067484663,0.0402862985685072,0.0386503067484663,0,0.00531697341513292,0,0.0224948875255624,0.0137014314928425,0.0466257668711656,0.00838445807770961,0.00838445807770961,0.0588957055214724,0.0807770961145194,0.014519427402863,0.00613496932515337,0.0100204498977505,0.0515337423312883,0.014519427402863,0.047239263803681,0.018200408997955,0.0114519427402863,0.0597137014314928,0.010838445807771,0.00224948875255624
"CN",0.039033045021069,0.0153027278775782,0.101075626524728,0.00332667997338656,0.00360390330450211,0.00815036593479707,0.00604346861831892,0.0077068086050122,0.00781769793745842,0.0404191616766467,0.0658128188068308,0.0148037258815702,0.016245287203371,0.00144156132180084,0.140219560878244,0.0377023730317144,0.000998003992015968,0.0182967398536261,0.0328786870703038,0.00194056331780883,0.0368707030383677,0.000665335994677312,0.00194056331780883,0,0.0159126192060324,0.0108117099135063,0.00615435795076514,0.0107008205810601,0.011643379906853,0.0367043690396984,0.0232867598137059,0.0118651585717454,0.0150255045464626,0.00144156132180084,0.0348746950543358,0.00842758926591262,0.0908738079396762,0.0115324905744067,0.0670326014637392,0.0303282324240408,0.003548458638279,0.00754047460634287
"CO",0.0263783269961977,0.000237642585551331,0.0193678707224335,0.0155655893536122,0.0329729087452472,0.0382604562737643,0.0172884980988593,0.00338640684410646,0.00493108365019011,0.00403992395437262,0.0245960076045627,0.0204966730038023,0.0298835551330798,0.0242395437262357,0.0383198669201521,0.0481226235741445,0.00433697718631179,0.0240613117870722,0.0366563688212928,0.0185955323193916,0.0349928707224335,0.0210313688212928,0.0196055133079848,0,0.063212927756654,0.013842680608365,0.0092680608365019,0.0114662547528517,0.0597076996197719,0.0247148288973384,0.00837690114068441,0.051152566539924,0.0402210076045627,0.0238236692015209,0.019546102661597,0.015625,0.0341611216730038,0.0163973384030418,0.0248336501901141,0.0383198669201521,0.029111216730038,0.00885218631178707
"DE",0.0198473599070886,0.0354639346302211,0.0447343315774192,0.0058899166286449,0.0234974490854038,0.0255713633912647,0.0113650503961176,0.0068231780662823,0.00879339665685014,0.0170060973080592,0.0165913144468871,0.0261520593969057,0.0238500145174001,0.0141855738520884,0.0590236011448007,0.027251233979012,0.00190800116139201,0.0238707536604587,0.0505620307768883,0.0294081048571073,0.0513915964992327,0.00279978431291219,0.0221701439296528,0.000497739433406612,0.0152225310050189,0.0219420133560081,0.0145381392840848,0.00389895889501846,0.0089385706582604,0.0587539922850388,0.027251233979012,0.0226056659338836,0.0157202704384255,0.00821270065120909,0.0775851341822556,0.0102658758140114,0.0552905553942511,0.0143514869965573,0.0289103654237007,0.0349869343398731,0.0253017545315028,0.00756978721639222
"DK",0.00542540073982737,0.0177558569667078,0.0224414303329223,0.0120838471023428,0.0295930949445129,0.0061652281134402,0.0209617755856967,0.000986436498150432,0.00123304562268804,0.00690505548705302,0.0128236744759556,0.012577065351418,0.00764488286066584,0.00443896424167694,0.0315659679408138,0.0458692971639951,0.00246609124537608,0.0145499383477189,0.0853267570900123,0.0128236744759556,0.0732429099876695,0.00246609124537608,0.0157829839704069,0,0.0537607891491985,0.0197287299630086,0.0725030826140567,0.0271270036991369,0.019482120838471,0.0545006165228113,0.0567200986436498,0.0207151664611591,0.0473489519112207,0.00517879161528977,0.00961775585696671,0.00369913686806412,0.0932182490752158,0.00246609124537608,0.000739827373612824,0.0495684340320592,0.0145499383477189,0.00394574599260173
